Location Name,"Street Address (Required, street name and number)",City (Required),"State (Required, NN format)",Zip Code (Required),"Latitude (Optional, nnn.nnnnnn)","Longitude (Optional, nnn.nnnnnn)",Location Type (Optional),Location Group (Optional)
American Institute of Alternative Medicine,"223 Rt. 18, Suite 205",East Brunswick,NJ,08816,40.438155,-74.392845,,Large Suburb
DeVry University-New Jersey,"517 Route 1 S, Ste 1000",Iselin,NJ,08830,40.557503,-74.311372,,Large Suburb
Lincoln Technical Institute-Iselin,"675 US Route 1 South, 2nd Floor",Iselin,NJ,08830,40.55934,-74.309058,,Large Suburb
PC AGE-Metropark,120 Wood Avenue South,Iselin,NJ,08830,40.561771,-74.325692,,Large Suburb
American Institute of Medical Sciences & Education,4500 New Brunswick Ave,Piscataway,NJ,08854,40.56114,-74.437251,,Large Suburb
Strayer University-Piscataway,242 Old New Brunswick Road Ste 220,Piscataway,NJ,08854,40.554506,-74.474974,,Large Suburb
Raritan Valley Community College,118 Lamington Road,Branchburg,NJ,08876,40.609681,-74.688127,,Rural Fringe
Chamberlain University-New Jersey,630 U.S. Highway One,North Brunswick,NJ,08902,40.465934,-74.438877,,Large Suburb
Atelier Esthetique Institute of Esthetics,226 East 26th Street 7th Floor,New York,NY,10001,40.746376,-73.995669,,Large City
Empire Beauty School-Manhattan,22 W 34th St,New York,NY,10001,40.748938,-73.986453,,Large City
Manhattan Institute,45 West 34th Street,New York,NY,10001,40.749711,-73.986929,,Large City
Nyack College,2 Washington Street,New York,NY,10004,40.705798,-74.015605,,Large City
Relay Graduate School of Education,"25 Broadway, 3rd Fl",New York,NY,10004,40.70563,-74.013948,,Large City
The King's College,56 Broadway,New York,NY,10004,40.706677,-74.012342,,Large City
Make-up Designory,"65 Broadway, 15th Floor",New York,NY,10006,40.70727,-74.012511,,Large City
CUNY Borough of Manhattan Community College,199 Chambers St,New York,NY,10007,40.71879,-74.011826,,Large City
CUNY Bernard M Baruch College,One Bernard Baruch Way (55 Lexington Ave at 24th St),New York,NY,10010,40.740238,-73.983417,,Large City
School of Visual Arts,209 E 23rd St,New York,NY,10010,40.738809,-73.982359,,Large City
Joffrey Ballet School,434 Ave of the Americas,New York,NY,10011,40.734545,-73.998566,,Large City
Pratt Manhattan-A Division of Pratt Institute,144 West 14th Street,New York,NY,10011,40.737947,-73.998857,,Large City
The General Theological Seminary,440 West 21st Street,New York,NY,10011,40.745563,-74.00378,,Large City
Glasgow Caledonian New York College,64 Wooster Street,New York,NY,10012,40.723346,-74.001699,,Large City
Aveda Institute-New York,233 Spring St,New York,NY,10013,40.725861,-74.00497,,Large City
Arrojo Cosmetology School,56 King St.,New York,NY,10014,40.72765,-74.005007,,Large City
American Academy of Dramatic Arts-New York,120 Madison Ave,New York,NY,10016,40.745545,-73.984843,,Large City
CUNY Graduate School and University Center,365 Fifth Ave,New York,NY,10016,40.748612,-73.983822,,Large City
DeVry College of New York,"180 Madison Ave., Ste. 1200",New York,NY,10016,40.747747,-73.983492,,Large City
Berkeley College-New York,3 East 43 Street,New York,NY,10017,40.753986,-73.979458,,Large City
Carsten Institute of Cosmetology,290 Madison Avenue 5th Floor,New York,NY,10017,40.75189,-73.980311,,Large City
CUNY System Office,205 East 42nd Street,New York,NY,10017,40.750845,-73.973639,,Large City
Ace Institute of Technology,"312 West 36 Street, 2nd Floor",New York,NY,10018,40.753658,-73.993385,,Large City
Brittany Beauty Academy,"29 W 36TH STREET, 2ND FLOOR",New York,NY,10018,40.750577,-73.985067,,Large City
Touro College,500 7th Avenue,New York,NY,10018,40.753199,-73.989404,,Large City
CUNY John Jay College of Criminal Justice,524 W 59th St,New York,NY,10019,40.770351,-73.98841,,Large City
Lia Schorr Institute of Cosmetic Skin Care Training,57 west 57 street suite 1409,New York,NY,10019,40.764401,-73.976807,,Large City
Christie's Education,"1230 Avenue of the Americas, 20th Floor",New York,NY,10020,40.758871,-73.980819,,Large City
New York School of Interior Design,170 East 70th Street,New York,NY,10021,40.768615,-73.962404,,Large City
American Musical and Dramatic Academy,211 West 61st Street,New York,NY,10023,40.772275,-73.987549,,Large City
Bank Street College of Education,610 W 112 St,New York,NY,10025,40.805604,-73.966643,,Large City
Columbia University in the City of New York,West 116 St and Broadway,New York,NY,10027,40.808286,-73.961885,,Large City
Manhattan School of Music,130 Claremont Avenue,New York,NY,10027,40.812312,-73.961334,,Large City
Teachers College at Columbia University,525 W 120th St,New York,NY,10027,40.810216,-73.960194,,Large City
CUNY City College,160 Convent Ave,New York,NY,10031,40.819846,-73.948542,,Large City
American Academy McAllister Institute of Funeral Service,"1501 Broadway, 11th Floor, Suite 1102",New York,NY,10036,40.757105,-73.986466,,Large City
"Christine Valmy International School for Esthetics, Skin Care & Makeup",1501 Broadway Suite 700,New York,NY,10036,40.757105,-73.986466,,Large City
Digital Film Academy,630 9th Ave Ste 901,New York,NY,10036,40.760073,-73.991082,,Large City
Gemological Institute of America-New York,"50 West 47th Street, 8th Floor",New York,NY,10036,40.757267,-73.980813,,Large City
Unification Theological Seminary,4 West 43rd Street,New York,NY,10036,40.754309,-73.981154,,Large City
Pacific College of Oriental Medicine-New York,110 William St. 19th Fl,New York,NY,10038,40.7088,-74.006721,,Large City
CUNY Hunter College,695 Park Ave,New York,NY,10065,40.768669,-73.964795,,Large City
Weill Medical College of Cornell University,1300 York Avenue,New York,NY,10065,40.764738,-73.954839,,Large City
Institute of Culinary Education,225 Liberty Street,New York,NY,10281,40.712449,-74.015637,,Large City
Career School of NY,350 St. Marks Pl,Staten Island,NY,10301,40.641352,-74.078168,,Large City
Academy of Cosmetology and Esthetics NYC,187 New Dorp Ln,Staten Island,NY,10306,40.573227,-74.114517,,Large City
St Paul's School of Nursing-Staten Island,"2 Teleport Drive, Corporate Commons Two, Suite 203",Staten Island,NY,10311,40.605584,-74.179757,,Large City
Torah Temimah Talmudical Seminary,3323 Richmond Ave,Staten Island,NY,10312,40.557785,-74.168769,,Large City
College of Staten Island CUNY,2800 Victory Blvd,Staten Island,NY,10314,40.601831,-74.14849,,Large City
CUNY Hostos Community College,500 Grand Concourse,Bronx,NY,10451,40.81812,-73.926759,,Large City
CUNY Bronx Community College,2155 University Avenue,Bronx,NY,10453,40.858112,-73.912043,,Large City
Brittany Beauty Academy,210 East 188th St,Bronx,NY,10458,40.860976,-73.897121,,Large City
Fordham University,441 E Fordham Rd,Bronx,NY,10458,40.859354,-73.882705,,Large City
American Beauty School,1380 Metropolitan Avenue,Bronx,NY,10462,40.835331,-73.860639,,Large City
CUNY Lehman College,250 Bedford Park Blvd West,Bronx,NY,10468,40.872962,-73.895379,,Large City
Monroe College,2501 Jerome Avenue,Bronx,NY,10468,40.864459,-73.900215,,Large City
Mercy College,555 Broadway,Dobbs Ferry,NY,10522,41.021626,-73.874447,,Large Suburb
Westchester School for Dental Assistant,33 W. Main Street  Suite 206,Elmsford,NY,10523,41.057111,-73.823556,,Large Suburb
Southern Westchester BOCES-Practical Nursing Program,450 Mamaroneck Avenue,Harrison,NY,10528,40.973637,-73.74167,,Large Suburb
Yeshiva of Nitra Rabbinical College,Croton Lake Road,Mount Kisco,NY,10549,41.232287,-73.748104,,Large Suburb
Kehilath Yakov Rabbinical Seminary,340  Illington Road,Ossining,NY,10562,41.220521,-73.814887,,Rural Fringe
Empire Beauty School-Peekskill,19 Bank St,Peekskill,NY,10566,41.291484,-73.918806,,Large Suburb
Ohr Hameir Theological Seminary,141 Furnace Woods Rd,Peekskill,NY,10566,41.268725,-73.889793,,Large Suburb
Manhattanville College,2900 Purchase St,Purchase,NY,10577,41.032187,-73.715645,,Large Suburb
New York Medical College,Administration Building,Valhalla,NY,10595,41.085031,-73.810042,,Large Suburb
SUNY Westchester Community College,75 Grasslands Road,Valhalla,NY,10595,41.068458,-73.789669,,Large Suburb
Berkeley College - Westchester Campus,99 Church Street,White Plains,NY,10601,41.034674,-73.768127,,Small City
Center for Ultrasound Research & Education,333 Westchester Avenue Suite 101 West,White Plains,NY,10604,41.028851,-73.746486,,Small City
Culinary Tech Center,Kimberly Hotel 145 East 50th street,New York,NY,10622,40.756375,-73.971407,,Large City
Cochran School of Nursing,"967 North Broadway-Andrus Pavillion-Saint John's Riverside,  HOSP",Yonkers,NY,10701,40.969116,-73.885705,,Large Suburb
Sarah Lawrence College,One Meadway,Bronxville,NY,10708,40.9355,-73.843727,,Large Suburb
Orange Ulster BOCES-Practical Nursing Program,4 Harriman Drive,Goshen,NY,10924,41.38922,-74.322049,,Small Suburb
Orange County Community College,115 South St,Middletown,NY,10940,41.438629,-74.426028,,Small City
Uta Mesivta of Kiryas Joel,48 Bakertown Rd Suite 501,Monroe,NY,10950,41.333864,-74.161179,,Large Suburb
Yeshivas Maharit D'Satmar,475 County Route 105,Monroe,NY,10950,41.33127,-74.159642,,Large Suburb
Bais Binyomin Academy,51 Carlton Road,Monsey,NY,10952,41.123013,-74.078802,,Large Suburb
Bais Medrash Elyon,73 Main Street,Monsey,NY,10952,41.114079,-74.069798,,Large Suburb
Yeshiva D'monsey Rabbinical College,2 Roman Blvd,Monsey,NY,10952,41.114173,-74.064721,,Large Suburb
Yeshivath Viznitz,15 Elyon Road,Monsey,NY,10952,41.114682,-74.070243,,Large Suburb
Capri Cosmetology Learning Centers,251 West Route 59,Nanuet,NY,10954,41.09909,-74.022421,,Large Suburb
Bais Medrash of Dexter Park,445 South Pascack Road,Chestnut Ridge,NY,10977,41.081404,-74.045927,,Large Suburb
Be'er Yaakov Talmudic Seminary,12 Truman Avenue,Spring Valley,NY,10977,41.138206,-74.029573,,Large Suburb
Rockland County BOCES-Practical Nursing Program,"65 Parrott Rd, Bldg 3",West Nyack,NY,10994,41.121255,-73.979871,,Large Suburb
Apex Technical School,24-02 Queens Plaza South,Long Island City,NY,11101,40.75043,-73.941511,,Large City
CUNY LaGuardia Community College,31-10 Thomson Ave,Long Island City,NY,11101,40.7445,-73.935057,,Large City
CUNY School of Law,2 Court Square,Long Island City,NY,11101,40.747797,-73.943621,,Large City
New York School for Medical and Dental Assistants,33-10 Queens Blvd,Long Island City,NY,11101,40.744291,-73.931391,,Large City
Empire Beauty School-Queens,38-15 Broadway,Astoria,NY,11103,40.759259,-73.919033,,Large City
Miami Ad School-New York,35-37 36th ST,Astoria,NY,11106,40.755046,-73.925071,,Large City
Allen School-Brooklyn,188 Montague Street,Brooklyn,NY,11201,40.693797,-73.991546,,Large City
Brooklyn Law School,250 Joralemon St,Brooklyn,NY,11201,40.691836,-73.989623,,Large City
CUNY New York City College of Technology,300 Jay St,Brooklyn,NY,11201,40.695483,-73.987856,,Large City
Beth Hamedrash Shaarei Yosher Institute,4102 16th Ave,Brooklyn,NY,11204,40.635444,-73.981202,,Large City
Pratt Institute-Main,200 Willoughby Ave,Brooklyn,NY,11205,40.691297,-73.96431,,Large City
Brittany Beauty Academy,375 86th Street,Brooklyn,NY,11209,40.62318,-74.028581,,Large City
CUNY Brooklyn College,2900 Bedford Ave,Brooklyn,NY,11210,40.631517,-73.949898,,Large City
Rabbinical College of Ohr Shimon Yisroel,215-217 Hewes St,Brooklyn,NY,11211,40.704389,-73.956772,,Large City
United Talmudical Seminary,191 Rodney St.,Brooklyn,NY,11211,40.705687,-73.959113,,Large City
Talmudical Seminary Oholei Torah,667 Eastern Pky,Brooklyn,NY,11213,40.670089,-73.945759,,Large City
Empire Beauty School-Brooklyn,2384 86th St,Brooklyn,NY,11214,40.599279,-73.989884,,Large City
Merkaz Bnos-Business School,2115 Benson Avenue,Brooklyn,NY,11214,40.601511,-73.997176,,Large City
Mesivta Torah Vodaath Rabbinical Seminary,425 E 9th St,Brooklyn,NY,11218,40.6382,-73.969395,,Large City
Rabbinical College Bobover Yeshiva Bnei Zion,1577 48th St,Brooklyn,NY,11219,40.631954,-73.985026,,Large City
Seminar L'moros Bais Yaakov,4409 15th Ave,Brooklyn,NY,11219,40.634863,-73.985376,,Large City
Talmudical Seminary of Bobov,5120 New Utrecht Ave,Brooklyn,NY,11219,40.634485,-73.995378,,Large City
Yeshiva Gedolah Imrei Yosef D'spinka,1466 56th St,Brooklyn,NY,11219,40.628468,-73.992328,,Large City
Yeshiva Kollel Tifereth Elizer,1227 47th Street,Brooklyn,NY,11219,40.637096,-73.992171,,Large City
CUNY Medgar Evers College,1650 Bedford Ave,Brooklyn,NY,11225,40.666256,-73.957076,,Large City
Center for Allied Health Education,1401 Kings Hwy,Brooklyn,NY,11229,40.608783,-73.958977,,Large City
Charles Stuart School of Diamond Setting,1420 Kings Hwy 2nd Fl,Brooklyn,NY,11229,40.608484,-73.95856,,Large City
Yeshiva Ohr Yisrael,2899 Nostrand Avenue,Brooklyn,NY,11229,40.61359,-73.944041,,Large City
Rabbinical Academy Mesivta Rabbi Chaim Berlin,1593 Coney Island Ave,Brooklyn,NY,11230,40.618467,-73.963702,,Large City
Yeshiva Sholom Shachna,401 Elmwood Avenue,Brooklyn,NY,11230,40.6275,-73.973431,,Large City
CUNY Kingsborough Community College,2001 Oriental Blvd,Brooklyn,NY,11235,40.577222,-73.935812,,Large City
EDP School,1601 Voorhies Ave 2nd Floor,Brooklyn,NY,11235,40.58605,-73.952901,,Large City
Rabbinical College Ohr Yisroel,8800 Seaview Ave,Brooklyn,NY,11236,40.629707,-73.896524,,Large City
New York Medical Career Training Center,136-20 38th Avenue Suite 5F,Flushing,NY,11354,40.7608,-73.829753,,Large City
Lincoln Technical Institute-Whitestone,15-30 Petracca Pl,Whitestone,NY,11357,40.784113,-73.82885,,Large City
CUNY Queens College,65-30 Kissena Blvd,Queens,NY,11367,40.735182,-73.816098,,Large City
Rabbinical Seminary of America,76-01 147th St,Flushing,NY,11367,40.72308,-73.817161,,Large City
Vaughn College of Aeronautics and Technology,86-01 23rd Avenue,Flushing,NY,11369,40.768348,-73.881721,,Large City
Metropolitan Learning Institute,"97-77 Queens Blvd, 9th Floor",Rego Park,NY,11374,40.729169,-73.858364,,Large City
St Paul's School of Nursing-Queens,97-77 Queens Blvd,Rego Park,NY,11374,40.72921,-73.858441,,Large City
Plaza College,118-33 Queens Boulevard,Forest Hills,NY,11375,40.714894,-73.831156,,Large City
Midway Paris Beauty School,54-40 Myrtle Ave,Ridgewood,NY,11385,40.699588,-73.909144,,Large City
Rabbinical Seminary of America-Ma'yan HaTorah,113-25 Myrtle Ave,Richmond Hill,NY,11418,40.70069,-73.836262,,Large City
Yeshiva Shaar Hatorah,117-06 84 Ave,Kew Gardens,NY,11418,40.703795,-73.834252,,Large City
Allen School-Jamaica,163-18 Jamaica Avenue,Jamaica,NY,11432,40.704694,-73.796295,,Large City
St. John's University-New York,8000 Utopia Pky,Queens,NY,11439,40.722523,-73.796104,,Large City
CUNY York College,94-20 Guy R. Brewer Blvd,Jamaica,NY,11451,40.701576,-73.796313,,Large City
New York College of Traditional Chinese Medicine,"200 Old Country Road, Suite 500",Mineola,NY,11501,40.73945,-73.638911,,Large Suburb
Hofstra University,100 Hofstra University,Hempstead,NY,11549,40.715959,-73.60078,,Large Suburb
Long Island Beauty School-Hempstead,173-A  Fulton Ave,Hempstead,NY,11550,40.707701,-73.629666,,Large Suburb
Rabbinical College of Long Island,205 W Beach St,Long Beach,NY,11561,40.586427,-73.670238,,Large Suburb
Eastern Suffolk BOCES,100 Second Avenue,Brentwood,NY,11717,40.777958,-73.237805,,Large Suburb
Electrical Training Center,65 Elm St.,Copiague,NY,11726,40.680471,-73.404943,,Large Suburb
Western Suffolk BOCES,152 Laurel Hill Rd,Northport,NY,11768,40.877083,-73.343689,,Large Suburb
St. Joseph's College-Long Island,155 W Roe Blvd,Patchogue,NY,11772,40.775933,-73.024661,,Large Suburb
Long Island Beauty School-Hauppauge,544 Rte 111,Hauppauge,NY,11788,40.828573,-73.200285,,Large Suburb
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,426 Geyser Road,Ballston Spa,NY,12020,43.047475,-73.846603,,Small Suburb
SUNY College of Agriculture and Technology at Cobleskill,State Route 7,Cobleskill,NY,12043,42.672534,-74.498258,,Distant Town
Samaritan Hospital School of Nursing,1300 Massachusetts Avenue,Troy,NY,12065,42.742861,-73.676151,,Small City
Hudson Valley Community College,80 Vandenburgh Ave,Troy,NY,12180,42.696509,-73.683734,,Small City
Russell Sage College,65 1st Street,Troy,NY,12180,42.72822,-73.693711,,Small City
Albany BOCES-Adult Practical Nursing Program,900  Watervliet Shaker Rd,Albany,NY,12205,42.745685,-73.835752,,Large Suburb
Bryant & Stratton College-Albany,1259 Central Ave,Albany,NY,12205,42.698125,-73.809977,,Large Suburb
Center for Natural Wellness School of Massage Therapy,3 Cerone Commercial Dr,Albany,NY,12205,42.72093,-73.805687,,Large Suburb
The New School Center for Media,14 Computer Drive West,Albany,NY,12205,42.720596,-73.809816,,Large Suburb
Orlo School of Hair Design and Cosmetology,232 North Allen St,Albany,NY,12206,42.674053,-73.784587,,Small City
Albany Law School,80 New Scotland Avenue,Albany,NY,12208,42.651818,-73.777495,,Small City
Maria College of Albany,700 New Scotland Ave,Albany,NY,12208,42.657789,-73.806287,,Small City
St. Peter's Hospital College of Nursing,714 New Scotland Ave,Albany,NY,12208,42.658346,-73.807616,,Small City
SUNY at Albany,1400 Washington Avenue,Albany,NY,12222,42.685489,-73.824662,,Small City
SUNY-System Office,353 Broadway,Albany,NY,12246,42.648047,-73.749494,,Small City
Belanger School of Nursing,650 McClellan St,Schenectady,NY,12304,42.802979,-73.915884,,Small City
Modern Welding School,1842 State St,Schenectady,NY,12304,42.779193,-73.903157,,Small City
Schenectady County Community College,78 Washington Avenue,Schenectady,NY,12305,42.814412,-73.950008,,Small City
Clarkson University Capital Region Campus,80 Nott Terrace,Schenectady,NY,12308,42.81389,-73.934191,,Small City
Ulster BOCES-School of Practical Nursing,"319 Broadway, PO Box 601",Port Ewen,NY,12466,41.896938,-73.972916,,Small Suburb
Ulster County Community College,491 Cottekill Rd,Stone Ridge,NY,12484,41.851218,-74.128698,,Rural Fringe
Columbia-Greene Community College,4400 Route 23,Hudson,NY,12534,42.217613,-73.818113,,Rural Fringe
Mount Saint Mary College,330 Powell Avenue,Newburgh,NY,12550,41.513872,-74.012655,,Small City
Marist College,3399 North Rd,Poughkeepsie,NY,12601,41.720937,-73.935484,,Large Suburb
Vassar College,124 Raymond Ave,Poughkeepsie,NY,12604,41.686895,-73.895088,,Large Suburb
Yeshivath Zichron Moshe,Laurel Park Road,South Fallsburg,NY,12779,41.73048,-74.621823,,Distant Town
SUNY Adirondack,640 Bay Rd,Queensbury,NY,12804,43.351839,-73.654813,,Small Suburb
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,1051 Dix Ave,Hudson Falls,NY,12839,43.32149,-73.594331,,Small Suburb
